Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Charter Communications,Sr Director,charter.com,CT,400M,Other,"Broadband Internet, Voice, Video, Wireless/5G/Cellular, WiFi, Pods and related services","10,000+ employees",$5B+,multiple,2000,250,multiple,multiple,Oracle,AWS,no,no,0,yes,yes,going from legacy applications and private cloud to public cloud.,yes,yes,legacy application decommissioning and move to kubernetes,yes,yes,reducing data replication and achieving accuracy as an outocome,yes,yes,move from legacy java to kubernetes,no,no,0,no,no,0,no,no,0,yes,yes,"maintain and grow talent, especially in this market.",0,"Backup/Disaster Recovery,Business Intelligence,Cloud Migration ServicesDev-Ops,Document Management SystemsMobilityStorage,Virtual Machines,Virtualization","Digital Customer Experience Optimization,Digital Transformation,Robotic Process Automation (RPA),Workflow and Content Automation","Big Data & Analytics,Business Intelligence,Data CleansingData Integration & Access,Data Quality,Network and application performance monitoring","APIs,Application Architecture,Application Integration,Application Lifecycle Management,Automation Testing Software,Cloud,DevOpsMobile,Open Source,Software Compliance,Web",",",",",",","IT Advisory / Analyst SupportIT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coaching,Staffing - Outsourced staffing – Project based,Staffing - Permanent to hire IT staffingStaffing - Staff Retention,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
City of Avondale,Chief Information Officer,avondaleaz.gov,AZ,"200,000",Government (state/local/federal),"Provide all city services such as law enforcement, Fire, Water, Sewer, Parks and Recreation.  IT is centralized and supports 17 various departments through-out the City.",500-1000 employees,$100M-$250M,14,25,2,15,Windows,Tyler,Hybrid,yes,yes,"assistance with enhancement of our in-house security team and providing those additional resources such as a soc or virtual ciso. _x000D_
enhancement of mfa software we are using for contractor access_x000D_
assistance with developing a security strategic plan and roadmap for both budget and setting the overall direction for the next 3 years.",yes,yes,exploring the options to move our data center to a colocation facility or to a hybrid/co-lo.,no,no,0,yes,yes,"develop a data governance plan._x000D_
we are currently creating a data warehouse using ms-sql that will be used to update our ongoing strategic plan using automation.   we would like to explore accessing saas data and brining important data into our data warehouse.  the initial goal is to use this data to centrally update our city strategic plan. _x000D_
we recently purchased powerbi and have plans to use that for data representation and enhance our reporting.",yes,yes,"we are using ms sharepoint today for the majority of our in-house development.  we see this as a low-code platform, however, it is more involved that we would like.   we do need a solution that can leverage apis for saas solutions as well as sql dbs.",yes,no,0,yes,yes,"we are actively expanding our public wifi system to our parks and common areas.  we also use licensed microwave between sites that do not have fiber connectivity.  one plan is to continue to utilize microwave technology as a backup solution, but are open to exploring technology and options.",yes,yes,our needs for outsourcing is to enhance our existing staff.   we would need outsourcing for application development if it is beyond what we are capable of.  we are actively looking for cybersecurity augmentation as well.,yes,yes,"i am looking for programs or development opportunities to have my staff certified in cisco, ms, and project management.  cybersecurity training for all staff to include devsecops and threat hunting and mitigation.  leadership training is needed for my management team as well.",",Multi-factor authentication,Managed Security Service Provider,Network Security - Monitoring & forensicsRisk & Compliance,",",Co-location",",",",Data Governance & MDM,Data Visualization,Data Warehousing,","Low Code Development Platform,",",","WIFI,Wireless","Cybersecurity ServicesSoftware / Application Development,","IT Certificates,IT Training Software for staff : Cybersecurity,IT Training Software for staff : SoftwareLeadership coaching",Spring 22,,,,,
City of Cedar Hill,IT Director,cedarhilltx.com,TX,"20,000",Government (state/local/federal),"We are a municipality to over 50,000 citizens",250-500 employees,Less than $50M,10,6,1,0,Windows,Tyler Technologies,Azure,yes,yes,"because local governments maintain sensitive personally identifiable information, we have a fiduciary duty to safeguard that information. as large-scale data breaches continue to make headlines, local governments must make cybersecurity a priority. any city or town, regardless of size, is at risk for a cyberattack. to keep pace with the constantly evolving threats and tactics of cybercriminals municipalities must be proactive, not reactive, about cybersecurity.",no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,yes,yes,"budget constraints, outdated infrastructure and security threats.",no,no,0,no,no,0,"Application Security - Vulnerability AssessmentAPI SecutiryData Loss Protection,Data Center Security,Data SecurityDisaster / Backup Recovery,Email SecurityEncryption,Endpoint detection & response (EDR)Endpoint prevention,Multi-factor authentication,Mobile Security,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat ManagementRansomwareSecurity Incident Response",",",",",0,",",",",",Data Center Networking,Hosting,Network ConnectivityRoutingSwitching,WIFI,",",",0,Spring 22,,,,,
Community West Credit Union,CIO,communitywestcu.org,MI,"40,000",Banking / Finance,"Mortgage, indirect, and consumer loans._x000D_
Savings and Checking products",50- 100 employees,Less than $50M,7,4,1,10,Windows 10,None,0,yes,no,we are in the process of onboarding a new security vendor at this time and do t have any additional cyber security initiatives for the next 6 months,no,no,0,no,no,0,yes,no,digging through our existing data in order to create predictive analytics and make data driven decisions,no,no,0,yes,no,none,yes,no,none,yes,no,none,yes,no,none,Data Loss Protection,",",",","Big Data & Analytics,Business Intelligence,Data Visualization",",",",",",","APIsBusiness Intelligance,",0,Spring 22,,,,,
Convivial Brands,Vice President of IT,convivialbrands.com,MI,15000,Retail,"Greeting cards, paper products, graphic design, home goods.",100-250 employees,Less than $50M,2,3,1,1,"Three way split... linux, windows and mac",Microsoft,Azure,yes,yes,we do not necessarily need assistance - we are more so looking to find out if our solution is up to par with industry best practice.,yes,no,do not have any challenges currently.,no,no,0,yes,yes,crm and bi warehouse,yes,no,just exploring open source use in enterprise.,yes,yes,office remodel - looking at new conference room tech.,yes,yes,office remodel and move - major changes for network.,yes,yes,"navision consultants, database performance.",yes,yes,adding at least one head count this year.,"Data Loss ProtectionData SecurityDisaster / Backup Recovery,Email Security,Endpoint detection & response (EDR),Multi-factor authenticationNetwork Security - Firewall,Network Security - Intrusion Prevention SystemsNetwork Security - Unified Threat ManagementPenetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access ControlRansomware","Backup/Disaster Recovery,Business IntelligenceDocument Management Systems",",","Backup/Disaster Recovery,BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Business Process Management,Customer Data Platform,Data CleansingData Integration & AccessData VisualizationServer Storage",",Open Source","Unified Communications,Video Conferencing","Company Intranet,RoutingSwitchingWAN,WIFI,Wireless","Business Intelligance,Database Modernization,Software / Application Development,Staffing / Recruiting",Staffing - Permanent to hire IT staffing,Spring 22,,,,,
Covia,Sr. Manager of Infrastructure,coviacorp.com,OH,3000000,Manufacturing / Natural Resources,silica mining,1000-5000 employees,$1B-$5B,55,30,2,15,windows 10,IFS,Hybrid,yes,yes,we are currently implementing several bits of technology and will likely be looking for competing options for future considerations,yes,no,review of backup dr options.,no,no,0,no,no,0,yes,no,looking for outsourced service now developers.,yes,yes,transition to teams for enterprise voice,yes,yes,we are nearing the end of our sdwan contract and will be interested in new vendors.,yes,no,"service now development._x000D_
remote smart hands networking",yes,yes,pursuing additional training options for the team.,",Cloud SecurityEncryption,Endpoint detection & response (EDR),Industrial / IoT Security,Penetration Testing and SimulationSOAR - Security Orchestration Automation and Response","Backup/Disaster Recovery,Help DeskIT Service Management (ITSM)",",",0,"Outsourced Consulting,",",Hosted PBX","SD-WAN,","IT Service Management (ITSM)Software / Application Development,Staffing / Recruiting",IT CertificatesLeadership coachingStaffing - Staff Retention,Spring 22,,,,,
Craneware,Head of IT,craneware.com,FL,1000000,High Tech,Healthcare Software 340b,500-1000 employees,$100M-$250M,8,20,3,0,0,0,Azure,no,no,0,yes,no,backups,no,no,0,no,no,0,no,no,0,yes,no,ms teams,yes,no,connect all office together,no,no,0,no,no,0,0,"Cloud Migration Services,Co-locationHelp DeskIT Service Management (ITSM),Virtual Machines,Virtualization",",",0,",",",Video Conferencing",",Network Connectivity,SD-WAN,",",",0,Spring 22,,,,,
Credit Union of Colorado,IT Director,cuofco.org/,CO,$10m,Banking / Finance,"Credit cards, mortgages, car loans",500-1000 employees,$50M-$100M,19,30,3,150,W10,ZenDesk,Azure,no,no,0,yes,yes,"draas, colo data center migration with cloud connect, application firewall",yes,yes,ai/machine learning in finance,no,no,0,no,no,0,yes,yes,"moving to the cloud for cxaas and ucaas, building out a new corporate office",yes,yes,standing up a new data center at a colo,no,no,0,yes,yes,would like to see what management training is out there for my team managers,0,"Backup/Disaster Recovery,Business IntelligenceCo-location,Connect CloudDev-Ops,Help DeskIT Service Management (ITSM),Managed File TransferSaaS Management,Storage,Virtual Machines,Virtualization","Artificial Intelligence & Machine LearningDigital Customer Experience OptimizationRobotic Process Automation (RPA),",0,",",",BYOD Employee Cell Device Management,Cloud based phone systems (VOIP),Contact Center Optimization,Unified Communications,Video Conferencing","Company Intranet,Data Center NetworkingNetwork ConnectivityRouting,SD-WAN,SwitchingWAN,WIFI,Wireless",",",",IT Asset Management,Leadership coaching,Team Efficiency and Effectiveness Training,",Spring 22,,,,,
CrossCountry Mortgage,"Manager, IT Operations",crosscountrymortgage.com,OH,5M,Banking / Finance,Mortgage Lending,"5000-10,000 employees",$500M-$1B,350,150,0,0,0,0,AWS,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,yes,no,migration of ucaas providers,yes,yes,expanding branch office network,no,no,0,yes,no,asset management,0,",",",",0,",","Business SMS and MMSCloud based phone systems (VOIP)Contract ManagementUnified Communications,","SD-WANWIFI,",",",",IT Asset Management,IT Certificates",Spring 22,,,,,
Davidson Homes LLC,IT Manager,davidsonhomesllc.com,AL,100000,Other,We are a Land Developer and Home Builder,250-500 employees,Less than $50M,40,4,0,0,0,0,Azure,yes,yes,recent move to azure has prompted a need to strengthen knowledge in cloud security.,yes,no,recently migrated to azure.,no,no,0,no,no,0,no,no,0,no,no,0,yes,no,many sites means a need for many network devices.,no,no,0,yes,no,recently enrolled department in training.,",Cloud SecurityEmail Security,Employee monitoring - Insider Threat DetectionIdentity & Access ManagementMobile SecuritySecurity Rating / BenchmarkingWeb Security","Backup/Disaster RecoveryManaged File TransferVirtual Machines,",",",0,",",",",",Network ConnectivityRouting",",",",IT Asset ManagementTeam Efficiency and Effectiveness Training,",Spring 22,,,,,
Dentons US LLP,North America Business Tech Operations Director,dentons.com,IL,16000000,Professional Services,Legal Services,1000-5000 employees,$500M-$1B,26,150,8,0,Windows 10,SuccessFactors & Elite,Azure,no,no,0,yes,yes,looking at a way to manage all of my saas services/contracts.  looking to do a backup/dr project in the us,no,no,0,yes,yes,looking at ways to leverage data for reporting to help make business decisions.,yes,yes,looking at implementing an automation testing software for desktop application testing,no,no,0,yes,yes,looking at hardware refresh,yes,yes,looking at various technology solutions to help workflow automation and testing.,yes,yes,looking at strategies to upskill staff and solutions to enable staff to get certified.,0,"Backup/Disaster Recovery,IT Service Management (ITSM),SaaS Management,",",","Backup/Disaster Recovery,BI Dashboard & ReportingOutsourced Consulting,","Automation Testing Software,",",",",Wireless",",QA/TestingStaffing / RecruitingVendor Evaluations",IT CertificatesLeadership coachingStaffing - Permanent to hire IT staffingStaffing - Staff Retention,Spring 22,,,,,
Docufree Corporation,Vice President of IT and Security,docufree.com,GA,"1,000,000",High Tech,Enterprise Document Management,100-250 employees,Less than $50M,4,9,3,0,Windows,0,AWS,yes,yes,"cloud security, penetration testing for saas and mobile applications, access control and surveillance systems",yes,yes,we are rolling out devops so would be open to learning about any solutions that would help in that space,yes,no,0,yes,no,we maintain pci and hipaa compliance and want to be sure that data is protected and only visible when and where it has to be,no,no,0,yes,yes,we have an old traditional pbx and need to modernize,yes,no,0,yes,yes,we need to improve our vendor selection and annual vendor assessments,yes,yes,we need to focus on staff retention and keeping our staff current so they can be more productive and be happier,"Application Security - Vulnerability AssessmentAPI Secutiry,Cloud Security,Penetration Testing and SimulationPhysical Security - Surveillance and Access Control","Dev-OpsSaaS Management,",",",Data Cleansing,",","Cloud based phone systems (VOIP),",",",",Vendor Evaluations",",IT Training Software for staff : CybersecurityIT Training Software for staff : IT Operations,Staffing - Staff Retention",Spring 22,,,,,
Duly Health and Care,IT Management,dulyhealthandcare.com,IL,"7,000,000",Healthcare / Hospital,Healthcare,"5000-10,000 employees",$500M-$1B,300,200,3,0,microsoft,salesforce,Azure,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,yes,yes,staffing and providing budget.,yes,yes,quality resources and maintaining current top performaers,yes,yes,focusing on it training and retention,0,",",",",0,",",",",",Network ConnectivitySwitching,Team Collaboration PlatformWIFI,Wireless","IT Service Management (ITSM),Staffing / Recruiting,Technology Lifecycle Management,Vendor Evaluations",",IT Asset Management,IT CertificatesLeadership coachingStaffing - Staff RetentionWorkload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
"Duraflame, Inc.",Director of IT,duraflame.com,NV,"$3,000,000 ",Manufacturing / Natural Resources,Consumer products - wood and charcoal,250-500 employees,$50M-$100M,12,5,1,0,Windows 10/11,Oracle Cloud Fusion Apps,Oracle,yes,yes,"cloud security solution ingesting all logs and providing high fidelity alerts, consolidation of current products and find best of breed subscription products that is cost effective.",yes,yes,are there better solutions to secure file sharing using windows share.,no,no,0,yes,no,none,yes,no,explore migrating other cost effective options to on-prem application and database custom business application,yes,yes,compare other telco vendors products and service that we are currently using to see if there are more cost effective and innovative solutions.,yes,yes,what are new technologies that are more innovative than cisco and vmware velo sdwan solutions?,yes,no,none,yes,no,what online training are available for my technics to enhance their skills and experience?,"Application Security - Vulnerability AssessmentIdentity & Access ManagementZerotrust,Network Security - FirewallNetwork Security - Monitoring & forensicsSIEM,","Managed File Transfer,MobilityStorage",",",0,"Low Code Development Platform,Microsoft Stack",",BYOD Employee Cell Device Management,Cloud based phone systems (VOIP),Contract NegotiationsHosted PBX","SD-WAN,Switching",",",IT CertificatesIT Training Software for staff : Software,Spring 22,,,,,
ESDC,VP of IT,esd.ny.gov,NY,15 million dolars,Banking / Finance,Financial Services,500-1000 employees,$1B-$5B,13,30,3,8,Microsoft,Oracle,AWS,yes,yes,cybersecurity is a major priority for our agency and we want to make every effort to employ the latest technologies to combat cyber threats.,yes,yes,we believe cloud solutions will give us an edge to accelerate delivery of our services.  we employ consultants assistance where needed,no,no,0,yes,no,"data is growing at an alarming rate and we constantly need  to provide backup, security, management and business continuity for that data",yes,no,we are constantly being asked to make modifications and implement apis to accommodate the request,yes,yes,unified communications and collaboration tools are necessary tools to any agency,yes,yes,network and infrastructure changes as always needed to keep up with growing and demanding technologies.  we hire consultants and subject matter experts when necessary since we sometimes lack  that expertise,yes,yes,consulting and outsourcing is a must to complement lack of expertise in critical areas,no,no,0,"Critical Event ManagementData Loss Protection,Data Center Security,Data SecurityDisaster / Backup Recovery,Email Security,Employee monitoring - Insider Threat DetectionEndpoint detection & response (EDR)Endpoint preventionIdentity & Access Management,Multi-factor authentication,Managed Security Service ProviderMobile Security,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Outsourced ConsultingPhishingPrivileged Access Management,Security Incident Response,User behavior monitoring,","Backup/Disaster Recovery,MobilityStorage,Virtual Machines,Virtualization",",","Backup/Disaster RecoveryData CleansingData Integration & Access,Data Quality,Data VisualizationEncryption,Hyper-converged Infrastructure (HCI),Network and application performance monitoring","APIsOutsourced Consulting,",",Video Conferencing",",MobilityNetwork Connectivity,Outsourced Consulting,RoutingSwitchingWireless",",Application Modernization,Cybersecurity Services,Database Modernization,Software / Application Development,",0,Spring 22,,,,,
EagleClaw Midstream,Director of IT,eagleclawmidstream.com,TX,500000,Other,Gas Processing,250-500 employees,$250M-$500M,8,3,3,0,Win 10 Pro,Waterfield,Azure,yes,yes,"internal pen test, dr, email securty, endpoint security",yes,no,none,no,no,0,yes,yes,"backup/dr, network performance",no,no,0,yes,no,maybe consider changing from lifesize to zoom for video conference or expand teams with conference room capability,yes,yes,"review current isp, get more robust network, mpls",no,no,0,no,no,0,",Cloud Security,Data SecurityDisaster / Backup Recovery,Email Security,Endpoint detection & response (EDR),Industrial / IoT Security,Penetration Testing and Simulation",",",",",Backup/Disaster RecoveryData Integration & AccessNetwork and application performance monitoring,",",",","Company Intranet,Mobility,MPLS,Network ConnectivityRoutingSwitchingWireless",",",0,Spring 22,,,,,
East Greenwich,IT Director,eastgreenwichri.com,RI,"500,000",Government (state/local/federal),Town emergency and services to the public,100-250 employees,Less than $50M,1 location 10 sites  37 servers  10 routers,3,5,5,Server 2019 windows 10pro,Eplus,AWS,yes,yes,looking at 24 7 monitoring and endpoint protection,yes,yes,looking at moving current servers to the cloud,yes,yes,looking into digital security,yes,yes,need to have tools and easy access to the network information running on site,yes,no,not at this time,yes,yes,looking at company’s helping us maintaining our network,yes,no,not at this time,no,no,0,yes,yes,training for staff to increase awareness,"Application Security - Vulnerability AssessmentData Loss Protection,Email Security,Endpoint prevention,Network Security - Firewall,Physical Security - Surveillance and Access ControlRansomwareThreat Intelligence","Backup/Disaster Recovery,Document Management SystemsHelp DeskMobilityVirtualization","Digital Security,Digital Workforce,Robotic Process Automation (RPA),",",BI Dashboard & ReportingHyper-converged Infrastructure (HCI),",",","Outsourced Consulting,",",",",",",IT Training Software for staff : Cybersecurity,",Spring 22,,,,,
Edgerton,IT Manager & Security Director,edgerton.us,WI,TBD,Other,Construction / Earthwork / Civil Engineering,100-250 employees,$50M-$100M,1,3,0,0,0,0,Azure,yes,yes,"smb needing tooling/services for:  event logging for threat detection, email security and archiving, security patching for remote users that can't access wsus, threat intelligence tools for ips/ids, network segmentation.",no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,",Cloud Security,Critical Event Management,Email SecurityMulti-factor authentication,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensicsSIEM,SOAR - Security Orchestration Automation and ResponseThreat Intelligence",",",",",0,",",",",",",",",0,Spring 22,,,,,
Ennetix,CRO,ennetix.com,CA,500000,High Tech,Security Software Products,0-50 employees,Less than $50M,1,5,3,2,Linux,None,AWS,no,no,0,yes,yes,network performance/security.,yes,yes,ai & ml,no,no,0,no,no,0,no,no,0,yes,yes,security,yes,yes,cloud security,no,no,0,0,",IT Service Management (ITSM)","Artificial Intelligence & Machine LearningDigital Customer Experience Optimization,Digital Transformation,Digital Security,",0,",",",",",MobilityNetwork Connectivity","Cybersecurity ServicesDigital Transformation (Analytics, AI),",0,Spring 22,,,,,
Enpro Industries,Div. CTO,enproindustries.com,NC,$20MM,Manufacturing / Natural Resources,Sealing Technologies and Material Science Innovations,1000-5000 employees,$1B-$5B,200,100,12,50,Windows,SAP; Oracle; Netsuite; MS Dynamics,AWS,no,no,0,yes,yes,"integration w/ a multitude of saas providers in a secure, collaborative fashion.",yes,yes,creating synergies among multiple solutions providers rather than deploying point solutions.,yes,yes,creating an integrated data hub w/ data from a multitude of erp systems.,no,no,0,yes,yes,creating a ucaas strategy and plan.,no,no,0,yes,yes,automating service functions and creating self-service capabilities.,no,no,0,0,",Business Intelligence,Cloud Migration Services,CRMDocument Management Systems,ERPIoT,IT Service Management (ITSM)","Artificial Intelligence & Machine LearningDigital Customer Experience Optimization,Digital Transformation,Robotic Process Automation (RPA),",",BI Dashboard & ReportingBusiness Intelligence,Data Cleansing,Data Governance & MDMData Quality,",",","Unified Communications,",",","Business IntelliganceIT Service Management (ITSM),",0,Spring 22,,,,,
Ethos Group Inc.,co-cio,ethosgroup.com,TX,2M,Insurance,software and services in the automotive finance & insurance market,250-500 employees,$1B-$5B,1,150,3,135,windows,in house dev plus microsoft dynamics,Azure,yes,yes,"starting to work on pci roadmap, so all things that would be necessary to go from soc2 to pci",yes,yes,"starting to work on pci roadmap, so all things that would be necessary to go from soc2 to pci",no,no,0,no,no,0,no,no,0,yes,yes,"current contract is up eoy 2022, need to look into alternatives on cloud phone system and contact center",no,no,0,no,no,0,yes,yes,we need to bolster basic employee cyber training and always spend time on increaasing it training,"Application Security - Vulnerability AssessmentAPI SecutiryDisaster / Backup RecoveryZerotrustPenetration Testing and Simulation,PhishingThird Party Cyber Risk ManagementUser behavior monitoring,","Backup/Disaster Recovery,Business IntelligenceHelp Desk,Virtual Machines,Virtualization",",",0,",","Cloud based phone systems (VOIP)Contract Management,",",",",","IT Certificates,IT Training Software for staff : Cybersecurity,IT Training Software for staff : SoftwareLeadership coachingStaffing - Staff Retention",Spring 22,,,,,
Frosch,Director IT,frosch.com,TX,500000,Travel / Hospitality / Recreation / Entertainment,"Travel Management Services for all sectors, all sizes at a global scale",1000-5000 employees,$1B-$5B,52+,50+,3,400,"Windows, Unix",Custom developed internally,Azure,yes,yes,improve email dlp,yes,no,all working well no changes needed,no,no,0,no,no,0,no,no,0,yes,no,all working well no changes needed,yes,no,all working well no changes needed,yes,no,all working well no changes needed,yes,yes,increase efficiency of asset management tools,",Application Security and WAFEmail Security,",",",",",0,",",",",",",",",",IT Asset Management,",Spring 22,,,,,
GARP,CIO,garp.com,NJ,5-10M,Non-Profit,"We promote Financial, Sustainability and Climate Risk Management certifications to global user base",100-250 employees,$50M-$100M,3,25,2,5,windows,salesforce,AWS,yes,yes,"looking to replace our endpoint detection vendor._x000D_
reviewing options to consolidate our active directories_x000D_
automate the provisioning and off-boarding of employees and contractors",yes,no,"looking to securely share files with financial institutions_x000D_
looking to outsource help desk for global 24x7 support",no,no,0,no,no,0,yes,no,looking to automate testing for app dev,yes,no,0,no,no,0,yes,no,looking to consolidate vendors,yes,yes,looking to establish a learning management system,",Encryption,Endpoint detection & response (EDR)Endpoint preventionIdentity & Access ManagementPenetration Testing and Simulation",",Help Desk,Managed File Transfer,",",",0,"Automation Testing Software,",",",",",",",IT Training Software for staff : Software,Spring 22,,,,,
"GE Appliances, a Haier company",Sr IT Manager,geappliances.com,KY,"100,000,000",Manufacturing / Natural Resources,Appliances and small kitchen appliances,"10,000+ employees",$5B+,8,400,8,400,"Windows, Linux, Unix",Oracle,AWS,no,no,0,yes,yes,"edge/iot and cloud saas solutions, management of all of that.",yes,yes,"rpa selection and deployment, workflow automation with erp processes. dock management using ai/ml",yes,yes,"warehouses, lakes, reporting and analytics",yes,yes,delivery speed matched to business capability requirements,no,no,0,yes,yes,5g and beyond replacing wifi? wifi trends and direction?,yes,no,outsource versus internal and in which areas would it make the right business sense.,yes,yes,training related to erp application usage both 'out of the box' and customized workflows.,0,",Business Intelligence,IoT,IT Service Management (ITSM),SaaS Management,","Artificial Intelligence & Machine Learning,Digital TransformationDigital Workforce,Robotic Process Automation (RPA),Workflow and Content Automation",",BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Business Process Management,Data Warehousing,","APIs,Application Lifecycle Management,DevOps,IoT,Mobile,",",","WIFI,Wireless",",Application Modernization,Business IntelliganceDigital Transformation (Analytics, AI),Digital Worker,IT Service Management (ITSM),",IT Training Software for staff : Software,Spring 22,,,,,
"GE CURRENT, a Daintree Company",Head - Information Technology Services,gecurrent.com,OH,5-10 M,Manufacturing / Natural Resources,"Commercial Lighting, Lighting Fixtures and Lighting Control Systems",1000-5000 employees,$500M-$1B,10,40,3,0,Windows,SAP,AWS,no,no,0,no,no,0,no,no,0,no,no,0,no,no,0,yes,yes,"working to streamline various voip and legacy pbx platforms to one across the enterprise and new acquisitions._x000D_
_x000D_
exploring tools for better management of  enterprise mobility devices  and byod.",yes,yes,streamlining  internet service providers across the enterprise and acquisitions.,no,no,0,yes,yes,it asset management has been a challenge. existing help desk tool does a bit but it is cumbersome and difficult to manage.,0,",",",",0,",",",BYOD Employee Cell Device Management,Cloud based phone systems (VOIP)Enterprise Mobility Management,",",Network ConnectivityWAN,WIFI,",",",",IT Asset Management,",Spring 22,,,,,
General Board of Global Ministries,Director of Enterprise Business Systems,umcmission.org,GA,1 million,Non-Profit,"Missionaries around the world._x000D_
Disaster response and recovery._x000D_
Global Health initiatives.",100-250 employees,Less than $50M,2,0,0,0,0,0,Azure,yes,no,managing security for users now working in a virtual environment.,yes,no,need to migrate from a legacy business data system,yes,no,managing security for users now working in a virtual environment.,yes,no,we need to clean up duplicates in our donor database,yes,no,several integration issues with our core systems. data integrity management is also a challenge.,no,no,0,no,no,0,yes,no,our consulting needs vary. the major project currently is modernizing our database. we have a complex environment that i am looking to simplify.,yes,no,open to the prospects of having an outsourced staffing that can help with projects on an ongoing basis.,",Cloud Security,Critical Event ManagementData Loss ProtectionData Security,Email SecurityEncryptionFraud Prevention / Transaction SecurityPhishing,RansomwareSecurity Incident Response,Third Party Cyber Risk Management,Web Security",",CRM,ERP,",",Digital Transformation,Digital Security,Digital WorkforceWorkflow and Content Automation","Data Cleansing,Data Quality,","Application Integration,",",",",","Cybersecurity Services,Database Modernization,Digital Transformation (Analytics, AI),Digital Worker,IT Service Management (ITSM)Technology Lifecycle Management,","Leadership coaching,Staffing - Outsourced staffing – Project based,",Spring 22,,,,,
"General Monitoring Services, Inc",IT Director,gmscentral.com,CA,150000,Other,"we provide 3rd party monitoring for commercial and residential burglary, fire, medical, emergency, elevator, and video alarm systems.",50- 100 employees,Less than $50M,1,3,2,40,"Windows server 2019, windows 10 desktop",0,Hybrid,yes,yes,"i'm currently migrating to a fortinet solution for firewalling and need some help in making sure our new design is as bulletproof as possible.   we need to begin penetration testing as well as testing our end users with tests for phishing, security, etc.",no,no,0,no,no,0,yes,no,we currently are in need of additional dba help which we will be likely hiring or outsourcing for our data integrity on our primary monitoring servers,no,no,0,yes,no,we are not upgrading our communication systems.,yes,yes,we are upgrading our core switches currently and potentially have a need for additional access layer switches or tor switches.,no,no,0,yes,yes,we have a strong need for new training avenues for our existing technical team.,"Critical Event ManagementData Loss Protection,Email Security,Employee monitoring - Insider Threat DetectionEndpoint detection & response (EDR)Endpoint preventionManaged Security Service Provider,Network Security - Firewall,Penetration Testing and SimulationPhysical Security - Surveillance and Access ControlRansomware,Risk & Compliance,",",",",",Backup/Disaster RecoveryData Integration & AccessNetwork and application performance monitoring,",",",","MPLS,Network ConnectivityRouting,SD-WAN,Switching",",","IT Advisory / Analyst Support,IT Asset Management,IT Certificates,IT Training Software for staff : CybersecurityIT Training Software for staff : IT Operations,Leadership coachingWorkload Prioritization/ Employee Burnout Prevention",Spring 22,,,,,
