Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
Gossamer Bio,"Senior Director, Information Security, Risk & Compliance",gossamerbio.com,CA,$1m,Healthcare / Hospital,Biotech,250-500 employees,$100M-$250M,2,0,0,0,0,0,Azure,dlp and insider risk management,0,0,0,0,0,0,0,enhanced cybsec training,Spring 22,1,0,0,1,1,0
HPE_SilverPeak Aruba,Information Security,com,CA,1,High Tech,Wireless products,"10,000+ employees",$100M-$250M,multiple,0,0,0,0,0,Hybrid,0,0,0,0,0,0,0,0,0,Spring 22,0,0,0,0,0,0
HPP,CISO-Manager Information Security,healthpartnersplans.com/,PA,0,Healthcare / Hospital,Medical Insurance,500-1000 employees,$1B-$5B,2,70,6,0,5,0,Azure,we are expanding/migrating our on prem servers/vdi into azure avs/avd. we need to confirm and enhance security around it.,we are expanding/migrating our on prem servers/vdi into azure avs/avd. - considering setup options.  we are also using a dated service management solution and need to replace.,0,0,0,0,0,0,0,Spring 22,1,2,0,2,0,1
Hawthorne Residential Partners,IT Director,hrpliving.com,NC,10000,Other,Multi-Family Housing,500-1000 employees,$50M-$100M,2,10,1,0,0,0,Azure,byod,byod,0,0,0,byod,byod,nothing at the moment,0,Spring 22,0,0,0,0,0,0
Health Carousel LLC,Director of Technology,healthcarousel.com/,OH,2 million,Healthcare / Hospital,"Travel Nurse, Locums and various other Healthcare staffing",500-1000 employees,$250M-$500M,11,45,2,400,Windows 10 // Windows 11,SAP,Azure,0,0,0,0,0,0,0,0,0,Spring 22,0,0,0,0,0,0
Holdenville General Hospital,IT Specialist,holdenvillehospital.com/,OK,1000000,Healthcare / Hospital,Health services,100-250 employees,Less than $50M,4,5,2,0,Windows,0,AWS,more information of what is available to build and maintain infastructure,looking to avay the cloud,too many to count not enough to worry about,none at this time,0,avya for the cloud,0,0,0,Spring 22,0,0,0,3,3,0
Hotwire Global,"EVP, Technology and Innovation",hotwireglobal.com,NY,500000,Media / Marketing / Advertising,"Public Relations, Industry Insights, Thought Leadership, Account Based Marketing",250-500 employees,$50M-$100M,9,7,1,3,"MacOS, and Windows",Salesforce,AWS,we would like to investigate how to reduce the number of authenticators our staff needs to log into all of the different services and tools we have and still keep secure.,none,we are looking into the best way to keep our staff agile in the new workplace. looking for solutions that bring the in-person experience to those working remotely.,0,0,0,0,none,"with the ""great resignation"", i have lost most of my staff and i need to onboard staff quickly as well as upskill.  looking for solutions on how to keep my staff engaged, trained, and reduce burn-out.",Spring 22,0,0,0,1,1,1
Hudson Regional Hospital,Chief Information Officer,hudsonregionalhospital.com,NJ,1 million,Healthcare / Hospital,"Healthcare provider. Acute, ASC and Ambulatory.",500-1000 employees,$100M-$250M,1,15,2,4,windows 10 pro,Meditech and ADP,AWS,biomed devices security,0,evaluation in progress. would like to meet some startups in healthcare it who we can partner with on some innovative pilot projects.,0,0,0,wireless infrastructure upgrade,0,0,Spring 22,1,0,0,1,0,0
ITW Diagraph,Global IT Manager,diagraph.com,MO,1.2M,Manufacturing / Natural Resources,We manufacture industrial injet printers,500-1000 employees,$100M-$250M,6,12,0,25,Win10,ECI Macola,0,0,0,0,0,0,0,0,0,0,Spring 22,0,0,0,0,0,0
Infinera,CISO,infinera.com,CA,500000,High Tech,Telecommunication Equipment,"5000-10,000 employees",$1B-$5B,60,50,10,0,0,0,AWS,budget,budget,budget,budget,budget,budget,budget,0,budget,Spring 22,0,0,0,0,0,0
Intel,Software Engineering Director,intel.com,CA,100M+,High Tech,"Hardware, microprocessors, FPGA, compiler, ASIC, sensors , memory, software, drivers","10,000+ employees",$5B+,10+,0,0,0,0,0,0,"working in the zero trust environment, data protection, encryption - handling of private keys, using cloud to extend internal farm","deploying applications in the private/public cloud. license handling, latency, security",ai and ml for data processing,0,"automation for gui testing, software compliance (open source) , cloud deployment (licensing)",0,0,developing of cloud based solution,0,Spring 22,3,0,0,5,6,0
JBFCS,CIO,jewishboard.org,NY,350000,Healthcare / Hospital,"We help adults and children living with mental illness, families and individuals who need supportive housing, adolescents who deserve a safe and protected environment within which to recover, people living with developmental disabilities, and New Yorkers who need counseling and mental health services to address specific issues.",1000-5000 employees,$100M-$250M,65,40,5,25,Microsoft,Sage Intaact,Azure,securing users and devices that extend beyond the current network security perimeter.,migrating on premise workloads to cloud.,robotic process automation,advanced analytics for client outcomes,mobile applications,centralized client contact center,sdwan and wireless,migrating workloads to cloud,cybersecurity awareness training,Spring 22,5,2,0,4,3,1
Jose Peppers LLC,Director IT,josepeppers.com,KS,800k,Travel / Hospitality / Recreation / Entertainment,"Tex Mex restaurant. Table service, full liquor beer and wine menus. Online ordering, gift cards, loyalty, etc.",500-1000 employees,Less than $50M,16,1,1,3,win10,0,Azure,pci,getting rid of physical azure server in office and moving away from vpn.  want to throw everything in to dropbox/365 securely,ipad pos conversion,how to share between restaurants and office without a physical azure server in a closet,0,"work from home is difficult for our office and it should not be. 
secure filesharing is all they need","20-30 year old buildings with loads of old cabling, old equipment, wires, clutter, etc. 
i need an it demo job before i can do any it install jobs. 
who can clean/prep a site for cable runs, network equipment installation?",convincing owner that you get what you pay for/spend money to make money,how to train restaurant managers to be able to effectively navigate and troubleshoot their computers/apps/etc.,Spring 22,1,0,0,3,4,1
Jtekt North America Corporation,IT Manager,jtekt-na.com/,SC,not interested,Manufacturing / Natural Resources,Automotive Equipments,"5000-10,000 employees",$1B-$5B,not interested,not interested,not interested,not interested,not interested,Oracle,0,0,0,0,"master data management issues.

focus data management , business intelligence",stress testing issues,0,0,finding talent,0,Spring 22,0,0,0,0,0,0
Justice Federal Credit Union,SVP - IT,jfcu.org,VA,$2M,Banking / Finance,"Banking
Mortgage loan
Consumer loans",100-250 employees,$50M-$100M,22,17,2,12,"Windows, Linux",0,Azure,"we are looking to move to cloud based backup solution. currently, all the backup is in-house and on-prem.","due-diligence for voip solution
cloud backup system","improve online banking adoption rate
improvise contact center solution",0,0,"replace current pri lines with voip solution
evaluate ms teams as a potential phone solution",due-diligence to replace mpls with sd-wan,0,expand skill set of the team,Spring 22,3,5,1,2,2,1
KCAS,"Director, Information Technology",kcasbio.com,KS,250k,Other,Biotech services,100-250 employees,Less than $50M,3,5,1,0,Varies,Dynamics GP,0,"we just acquired another company.  as we grow looking at third party risk, and email compliance will be important.",no additional plans,no additional plans,we recently expanded capabilities,0,we are in the middle of a migration already,with a new building we have already added needed resources.,0,a new acquisition will have us re look at support at the new location.,Spring 22,1,0,0,1,1,0
KPFF Inc.,IT Manager,http://kpff.com,WA,2000000,Professional Services,Engineering services,1000-5000 employees,$250M-$500M,14,12,1,0,Windows,0,AWS,improve endpoint protection,create utility virtual machines,improve access,create more option to land backups,take better advantage of microsoft products,change from onsite pbx to voip,replace wire access points,get advice from  vciso,0,Spring 22,3,1,0,0,3,0
KUMC,IT Manager,.kumc.edu,KS,1000000,Education,Medical education and research.,1000-5000 employees,$100M-$250M,3,0,0,0,0,0,Azure,security awareness training especially email related.,0,0,0,0,byod as we move to a more remote work force.,looking into 5g networking infrastructure.,0,looking to expand our leadership teams development and build leaders from our top talent.,Spring 22,2,1,0,2,2,1
LLNL,IT Director,llnl.gov,CA,5000000,Government (state/local/federal),Defense,"5000-10,000 employees",$250M-$500M,1,100+,20+,10,"Windows, Linux, OSX",Oracle,Azure,"1) implement cross domain solutions
2) integrate personally-owned devices into the organization such as phones and tablets",0,0,0,0,0,0,0,0,Spring 22,0,0,1,1,1,0
"Lafayette 148, Inc",Technology & Business Information Advisor,lafayette148.com,NY,2 million,Retail,Fashion,1000-5000 employees,$100M-$250M,4,20,1,0,Microsoft,Blue Cherry,Azure,0,0,"optimizing our digital wiht our physical customer expereince,; merging ecommerce wiht the brick & mortar stores

optimization and automation of workflows across teh orgnaization

digital adoption is uneven, need to create a digital workforce of the future",0,0,0,0,"need to find resources who can help educate us and our executive and set us up for the future, we do not have sufficinet reources nor capabailities in house to know where invovation is headed especially in areas like cybersecurity, database and new applications as part of the metaverse","we are a vertically integrated company and with that many onflicting demands on the technology team. workload prioritization and the ability to dientify what needs to come first as opposed to the squeaky wheel is critical. at the same time, we need to learn to be more efficient while teaching others how to increase efficiency. we just hired a cybersecurity consultant and will learn what is required and whether a permanent hire makes sense for us.",Spring 22,4,0,0,5,5,0
Liberty Iron and Metal INC,Head of Information Technology,libertyiron.com,OH,100000,Manufacturing / Natural Resources,Distribution of recycled Metal,0-50 employees,Less than $50M,3,1,1,0,Windows,Recy,Azure,learning and implementing zerotrust,none at this time.,0,cost savings.,0,downsizing and cheaper solution.,just getting hardware.,0,none in the next two years,Spring 22,1,0,0,0,0,0
Lighthouse Resources,GM,lighthouseresourcesinc.com,UT,800k,Manufacturing / Natural Resources,Thermal Coal,100-250 employees,Less than $50M,3,1,1,0,0,0,Hybrid,network monitoring,0,0,0,0,phone and video conferencing,5g and sdwan,considering a managed it service,0,Spring 22,0,0,0,0,1,2
Los Angeles Times Communications,Director Network Infrastructure & Security,latimes.com,CA,$5M,Media / Marketing / Advertising,Publications both print and digital,1000-5000 employees,$250M-$500M,12,150,10,0,"Windows, Unix, Apple",Microsoft,Azure,we are looking to bring on a new mssp,"we are actively migrating our workloads from aws to azure
containerization",0,0,0,we need to replace our existing asterisk pbxs with a new solution,"we are replacing all our eol cisco switches with new juniper switches
our sd-wan provider contract in up next year and we are looking to renew with a new provider",we are replacing our current it managed services company in the next 6 months,we are looking for a security awareness training program for the company,Spring 22,4,0,0,4,5,2
MBUSI,IT Services Manager,mbusi.com,Outside the US,25000000,Manufacturing / Natural Resources,We build Mercedes-Benz cars and SUVs,"10,000+ employees",$5B+,1,0,0,0,0,0,AWS,0,0,0,0,0,"increased focus on remote work and the ability to collaborate with domestic and international teams without travel.  really need some sort of working solution that can ""go mobile"". for example, a camera that is not fixed to the wall or a credenza.  one that can be picked up and carried around while inspecting our product.",0,0,responsible for it training for our staff.  so far this is a small effort.  interested in online/virtual training instead of in-person,Spring 22,1,1,0,1,1,1
MHSAS,CIO,tn.gov/mental,TN,10 Million,High Tech,Mental Health and Substance Abuses Services,1000-5000 employees,$500M-$1B,5,25,2,50,Windows 10,Oracle,AWS,security in general,dr,0,analytics,low code/no code,contact center,0,0,coaching and training,Spring 22,3,1,0,1,1,0
MPHI,Information Security Officer/ Risk Manager,mphi.org,MI,3 million,Non-Profit,"Website development
Hosting project data
provide services to state of michigan dept of Health and human services",500-1000 employees,$50M-$100M,10,23,3,0,0,0,Azure,implementing risk program and working on nist 800-53 compliancy,0,0,0,0,0,0,0,0,Spring 22,1,0,0,0,0,0
MPI,CIO,mpi-companies.com,IL,850000,Professional Services,"Executive Search, Leadership Development, Succession Planning",50- 100 employees,Less than $50M,2,2,2,0,0,0,0,we have pivoted to 100% a work-from-home environment.  i'd like to learn additional ways to protect those endpoint pcs in employees' home offices.,we are replacing our aging applicant tracking system (ats) in 2022.  we have chosen a product and a migration team so i'm not sure how much assistance we'll need.,0,we currently use an on-prem reporting solution (jet analytics) and i'd like to hear about cloud-based reporting solutions.,0,we moved to mitel's cloud connect in 2020 but i'm looking into possible alternatives.,0,0,we are a small it team.  i would like to provide opportunities for certifications/learning paths for my direct report.,Spring 22,1,2,1,2,4,1
Machine Specialties Inc ,IT director ,machspec.com,NC,75000,Manufacturing / Natural Resources,Metal fabrication,100-250 employees,$50M-$100M,1,6,6,0,Windows,Epicor,Azure,cmmc compliance at a level 3 designation.,vm solutions to reduce physical on premise devices.,0,looking for a new backup solution we have a hybrid system setup now could be more robust.,0,0,looking to expand our current switch stack,0,i have a young group of support staff and would like to have more training opportunities.,Spring 22,3,1,1,1,1,0
Magicjack.,CISO,magicjack.com,FL,5 million,High Tech,"Email
Cell Phones
VOIP phones",250-500 employees,$250M-$500M,40,300,20,10,Linux,0,Hybrid,security awareness compliance,0,0,0,0,0,0,0,0,Spring 22,2,0,0,0,0,0
Magnolia Regional Health Center,Cybersecurity Manager,mrhc.org,MS,2.5 Mil,Healthcare / Hospital,Healthcare,1000-5000 employees,$250M-$500M,3,16,2,0,Windows,Meditech,0,"asset identification 
iot security",none in the next 2 quarters,0,0,0,0,0,0,0,Spring 22,1,0,1,1,1,0
Marion County Public Schools,Director of Technology,marionschools.net/,FL,3MILLION,Education,Education,"5000-10,000 employees",$500M-$1B,60,85,5,10,Windows 10,0,0,"one of our main initiatives is to strengthen our cybersecurity posture. we need to implement mfa to all of our users. in addition, looking to schedule a penetration test and vulnerability scan of our environment.",looking for alternate help desk client support solutions to help us track of customer service calls to out technology team. also looking for a cloud backup storage solution to assist with removing data from our on-premise sites.,looking for vendors that can help us identify how ai can help us with automation and workflow creation.,0,0,0,we are looking to expand our internal sharepoint site to a more robust intranet site for all of our employees. also add wap throughout our entire footprint.,0,"looking for alternate solutions to help us with the professional development of our current and future staff.  also, exploring different solutions for tracking and managing chromebooks, laptops, desktop pcs, ipads and other equipment through out our district.",Spring 22,4,1,1,4,4,1
Mars,Global Sourcing Manager,mars.com/,VA,Private,Manufacturing / Natural Resources,https://www.mars.com/made-by-mars,"10,000+ employees",$5B+,900+,0,0,0,0,0,0,private,0,0,private,0,0,0,private,private,Spring 22,0,0,0,0,0,0
Master Fluid Solutions,Global Director of Business Systems,masterfluidsolutions.com,OH,500000,Manufacturing / Natural Resources,Cutting and grinding fluids for metalworking.,250-500 employees,$100M-$250M,4,10,2,0,0,Infor,Azure,process and policy,data consolidation,none,data consolidation and analysis,internal applications need to be converted to packages,new phone system needed,wifi network,0,training in asset management,Spring 22,1,1,1,1,1,0
Microsoft,Principal Data Scientist,microsoft.com,WA,50M,High Tech,"XBOX, Surface, D365 etc;","10,000+ employees",$5B+,500,120000,20000,100,Win 10,0,Azure,"insider threats, data breaches and phishing attacks",implementation and migration challenges.,"lack of overall digital strategy, budget allocation","multiple data storages, data quality, lack of quality and process.","user experience and user interface, security, performance and scalability.","lack of feedback, overall lack of communication, an overload of irrelevance","performance degradation, security issues and slow connectivity.","slow turnaround time, lack of business and domain knowledge.","managing stakeholders, guiding change, compensation and attracting talent",Spring 22,4,0,0,2,3,0
Microsoft,Technical Program Manager,itproguru.com,MA,800M,High Tech,Cloud services,"10,000+ employees",$5B+,0,0,0,0,0,0,Azure,0,"budget minded project management, team working at the same time, reporting
data analytics / business intelligence",0,0,code and testing quality,0,0,staff skills improvement program creation,"team training, business, projects, leadership cyber and technical",Spring 22,1,0,0,1,1,0
Milwaukee County,Chief Technology Officer,milwaukee.gov,WI,$1M,Government (state/local/federal),Typical county services,1000-5000 employees,$500M-$1B,65,125,4,100,"Windows 10, 2016, 2019, 2022, iOS",Infor,Azure,dlp and casb need to be rolled out this year.  looking for some sort of risk management dashboard and reporting for board meetings and leadership,0,0,we are piloting microsoft powerbi as an enterprise bi tool,0,just finished a project to upgrade an enterprise avaya system,no major projects here,looking to have a services company come in to assess our environment then make recommendations for digital transformation and improvements to create efficiencies and save money,no projects here,Spring 22,0,2,1,2,1,0
Montefiore Health System,AVP IT,montefiore.org,NY,10 million,Healthcare / Hospital,"Ambulatory and Hospital patient care, Educational Services via the College of Medicine, and Research.","10,000+ employees",$5B+,300+,800,20,40,Windows,SAP,Azure,0,0,"transforming the operation to an ai-centric, shift-left strategy, focusing on dex and improving customer experience, leveraging automation and rpa specifically to reduce workload for it.",0,0,0,0,"how to shift to level zero support, knowing that this requires automation of work, and engineering resources in this space may be a challenge.  finding appropriate expertise and cost-effectiveness balance.","staff burnout is a challenge, especially in healthcare it.  the pandemic has turned healthcare upside down, and those serving those who are providing critical care are exhausted.  work load has gone up tremendously, and the reactive situation we're in has forced us to forgo much of the work done to charge forward in an innovative way, simply because we just don't have the means to do this with the staff and budgets we currently have.",Spring 22,0,1,0,2,3,1
Mountain Brook Schools,CTO,tnbrook.k12.al.us,AL,1.5 million,Education,K-12 Education,500-1000 employees,Less than $50M,7,17,15,0,0,0,AWS,"funding
manpower",security,funding,"funding, personnel",0,0,0,funding,funding,Spring 22,1,0,0,0,0,0
Mountain West Farm Bureau Mutual Insurance Company,IT Director Information Security and Infrastructure (CISO),mwfbi.com,WY,Approx 500k,Insurance,Insurance Policies Personal and Commercial lines,250-500 employees,$100M-$250M,32,23,3,Outsourced,Windows,Guidewire,Azure,"currently have:
vciso support
mssp
dns live monitoring
duo
mimecast
azure
m365 online

information research on the topics selected above.
azure and zero trust
privileged access controls
risk and compliance
identity access and management
waf
compliance for insurance industry","most of our cloud initiatives are in progress or nearing completion.
msft virtual machines are on the horizon","back burner, nothing soon","option for the above
data at rest encryption and an managed access
data control and data management for mobile devices, byod",0,"msft teams integration with voip cloud based solution
soft-phone, easy device call switching for mobile and remote work force
small customer service center features
call recording, and to inbox
trunks and full service voip/foip in one basket.","network refresh in progress now
back burner item, but interested in sd-wan technology as possible go forward.","looking for msft stack options for data lake, data factory, synapse, bricks, spark, tera form
power bi, dashboards, etl, reporting , integrations/apis with saas cloud integrations
full service m&o",0,Spring 22,6,3,1,4,9,3
"Mountain West Insurance & Financial Services, LLC",Director of Information Technology,mntwst.com,CO,1.5 million,Banking / Finance,Independent insurance agency that also offers personal financial services,100-250 employees,Less than $50M,15,4.5,2,4,Windows 10,0,0,"mobile device/byod security
mfa requirements on critical cloud services
employee security awareness and education (on-going forever)",secure cloud-based file sharing with the external world that is managed by it and isn't permanent storage for employees,none at this time.,data retention policies,0,0,0,0,0,Spring 22,1,0,1,2,4,1
Munchkin Inc,"Infrastructure Director, Global Information Technology",munchkin.com,CA,1000000,Retail,"File share services
BC/DR
Global CCTV and access controls
Video conferencing
Global VPN
Access controls for PCI and SOX compliance
Sustainability",500-1000 employees,$100M-$250M,8,20,5,na,"windows, mac os",oracle,AWS,access controls for pci and sox,0,0,0,0,migrate out of onprem pbx,look into company intranet replacement,look into vendor evaluations and tech lifecycle management,staff training on cybersecurity and efficient it operations,Spring 22,4,0,0,2,3,0
NACCHO,Senior Advisor and Chief Technology Officer,naccho.org,DC,$2 million,Healthcare / Hospital,Healthcare Consultant and membership organization,100-250 employees,$50M-$100M,1,9,2,0,Windows,0,Azure,looking for a security vendor/consult to assist with hardening the organizations  security.  also looking to have dr plan created and tested.,backup/dr are a top priority for 2022-2023.,nothing at this time.,"data analytics, backup and recovery are on the agenda for 2022 as well as encryption.","will need assistance with web solutions, application integration and finding a consult to assist with current web platform.",priority for 2022 is getting a new cloud based phone system.  the byod device management seems like something cool that could be done as well.,we are looking for a new network infrastructure consulting vendor.,looking for a bi and cyber consultant to assist with various priorities.,nothing at this tim.,Spring 22,6,1,1,2,1,0
"NCHC, Newark Community Health Center",Director of IT,nchcfqhc.org,NJ,200000,Healthcare / Hospital,healthcare,250-500 employees,Less than $50M,7,0,0,0,0,0,Hybrid,"patient access violation
risk & compliance
ransomware",0,0,0,0,contract management,mobility,it service management (itsm),0,Spring 22,2,0,0,0,0,0
NOCCCD,"District IT Director, Infrastructure & Operations",nocccd.edu,CA,50000,Education,Community College,1000-5000 employees,$100M-$250M,3,0,0,0,0,0,AWS,"ransomeware, spammers posing as students to gain access to financial aid and resources.",0,0,it helpdesk and inventory management.,0,integrating e911 across multiple campuses.,0,0,0,Spring 22,0,0,0,1,2,0
New Vista of the Bluegrass,Corporate Director of IT,newvista.org,KY,2500000,Healthcare / Hospital,Community Mental health services,1000-5000 employees,$100M-$250M,27,14,1,12,0,0,Azure,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,none at this time.  looking for more education,Spring 22,0,0,0,0,0,0
North Canyon Medical Center,CIO,northcanyon.org,ID,1000000,Healthcare / Hospital,Healthcare,250-500 employees,$50M-$100M,4,4,1,1,"Windows Hyper V, windows 10",None,Azure,top initiative is become more compliant and avoid ransomware in ecosystem.,backup and data recovery,0,disaster recovery,0,0,adding a redundant data center,none at the moment,"training to stay current, and build a stronger team internally",Spring 22,4,0,1,1,1,0
Northeast Community College,CIO,northeast.edu,NE,2 Million,Education,Education and training to students,250-500 employees,Less than $50M,6,42,2,8,Windows 10/Linux,Ellucian Banner,Hybrid,"phishing and ransomware are the biggest threat
not having a true and tried dr plan
we are not using benchmarking to improve our maturity
our devices are not yet encrypted","we intend on migrating our erp to a cloud hosted provider.  this would include utilizing their backup and disaster recovery.
also considering moving away from physical desktops everywhere and using vdi, especially in our classrooms.  ideally, we'd like to run the vdi from the cloud if that technology is mature enough.
we are currently on servicenow for itsm and looking at other products that will better suit us.  it must be saas based.","we need to transform our environment.  we are project-based and working on one-off solutions.  we need to bring all ideas together and build platforms that improve our student and faculty experience.  i believe we are trying to transform digitally, i'm just impatient and want to move faster!
we are currently reviewing partners to help us with consulting and transforming our environment.","we will utlize our cloud partner for backup and dr.
we continue to try and integrate with apis and ethos integrations for our banner erp environment.  need everything to be integrated and connected for a digital transformation.  it needs to get easier so we can be more agile.
one of our biggest initiatives is getting the data to our stakeholders and so they understand it.  we are currently migrating to power bi and have invested in several new employees to bring us to the world we need to be in.
data warehousing is obviously a topic every other day too.",0,"contract management solution has been discussed at the executive level a few times.  we do not have a good solution or process for it.
i'd like to reduce our telcom costs.  i'm not sure we need phones on our desks anymore.  i use video conferencing for everything.",we are nearly eol on all of our network gear.,0,i've been the cio for 18 months now at this organization and we do not have any professional development for technology people.  this needs to be a priority in the coming year.  i have directors that have never led people before.  this is another one i'd like to address.,Spring 22,8,1,0,5,7,3
Northwestern Mutual,Senior IT Director,northwesternmutual.com,WI,500K,Insurance,Insurance and wealth management.,"10,000+ employees",$5B+,4,0,0,0,0,0,Hybrid,0,"storage, backup, recovery, and ransomware prevention.",0,"storage, backup, recovery and cyber recovery and ransomware prevention",0,0,0,0,staffing is a continuous effort with a focus to recruiter the best talent in the market.,Spring 22,4,0,0,0,2,0
Novelis,Director of Data Science,novelis.com,GA,300 mn,Manufacturing / Natural Resources,"We are an Aluminum manufacturing company serving four segments; can, auto aerospace and specialties. We are world's largest recycler of Aluminum with a presence in 13 countries with 33 plants employing more than 15000 people.","10,000+ employees",$5B+,20,0,0,0,0,0,Azure,0,0,"i am in the leadership of digital coe focusing on analytics, simulation and ai. we have launched several ai uses in manufacturing, but we would like to create edge deployment standards and governance. that will be my main priority.",0,we will need assistance in exposing our ml and ai models to end users. it could be through development of apps or web interfaces.,0,0,"the demand of ai specific projects is quite large. thus, we have to depend on the use of vendor services to supplement our teams. we will need help with staff aug. or turnkey projects.","as a part of the upskilling effort, we will need help for educating our staff on ai and ml.",Spring 22,0,1,0,5,5,2
Nye Lubricants,IT Manager,nyelubricants.com,MA,3m,Manufacturing / Natural Resources,lubricants,100-250 employees,$50M-$100M,1,10,1.5,12,Windows/Vmware,Microsoft,Azure,"documentation of systems, response templates, and runbooks",cost control,automation of business processes,data lifecycle,secure code and data,0,securing identity of remote connections,cost control and code security,having time to do the training and certifications. not sure there is an answer for that one.,Spring 22,2,0,1,1,1,1
Ocwen Financial,"Sr Manager, Digital Transformation",ocwen.com,FL,50M,Banking / Finance,"Mortgage Servicing
Mortgage Originations","5000-10,000 employees",$1B-$5B,5,400,30,1000,Windows/Linux,Oracle,AWS,0,0,"rpa
automation
document processing using ocr
omni channel bots (voice/chat bots)",0,0,0,0,0,0,Spring 22,0,0,0,1,0,0
Olga Media,Director of IT,OlgaMedia.com,CA,100000,Media / Marketing / Advertising,"Business needs, translations, news, interviews, promo",50- 100 employees,Less than $50M,5,5,6,5,iOS,0,AWS,cybersecurity and data management,hybrid cloud and security,0,0,0,0,0,0,0,Spring 22,3,0,0,2,2,0
Olga media ,CIO ,Www.OlgaMedia.com ,CA,200000,Media / Marketing / Advertising,"Videos, news, interviews, overviews, translation, consulting, research and development, resolutions",0-50 employees,Less than $50M,5,6,3,11,"Marcos, Microsoft windows","Netsuite, Microsoft",IoS,none,0,0,0,0,0,0,0,0,Spring 22,0,0,0,0,0,0
Omnicom Media Group,Infrastructure Operations Manager - North America,omnicomediagroup.com,NY,200 million,Media / Marketing / Advertising,marketing and advertising,"10,000+ employees",$5B+,2500,0,0,0,"window, Linux","Dynamics, Salesforce",AWS,0,"global solution availability.
many cloud solutions are offered in a small number of region, such as us and uk, but nothing in apac, south america, middle east, eastern europe",0,"migrating unstructured data into the cloud
data storage and access to business to and from china",0,integrating and offering oversea locations on the same corporate backbone,"upgrading global wifi system, that is eol, with the supply chain shortage","continue staffing through msp, instead on on boarding on shore staffing",0,Spring 22,0,0,1,4,6,1
OneAmerica,Sr. Director Application Development and Support / DevOps,oneamerica.com,IN,$65MM,Banking / Finance,"Short term / long term disability
""401(k)""
Life insurance",1000-5000 employees,$1B-$5B,2,300,10,0,0,0,Azure,0,0,we are very immature in this area.,0,"we are very immature in this area . . . we are transitioning to a more ""modern"" organization.",0,0,0,0,Spring 22,0,0,0,0,0,0
Optum,Sr Director Clinical Analytics,optum.com,MN,5M,Healthcare / Hospital,You can visit www.optum.com to know more,"10,000+ employees",$5B+,100+,125000,5000,50000,All,many,Azure,0,0,scaling contact center facing real-time ai/ml solutions to work on a multi-cloud architecture,data integration across multi-cloud architecture such that solutions can quickly be built to scale.,"creating and hosting apis on on-prem and cloud architecture models such that data can reside on a multi-cloud ""converged"" environment",0,0,0,finding the right talent and the right price,Spring 22,0,3,0,7,6,0
Orion Food Systems,Sr. Director of IT,orionfoods.com ,SD,1200000,Manufacturing / Natural Resources,Food distribution and manufacturing,500-1000 employees,$100M-$250M,5,16,2,10,10 pro,sap,Azure,"adding industrial network security for our manufacturing facilities
reviewing options to replace our current soc/siem provider at the end of the year","replacing our current helpdesk ticketing system asap
implementing itsm
replacing our sap ecc6 erp within 18 months","reviewing ways to use rpa to save on manual labor costs
utilizing ml to develop more dashboards with valuable data","building a data lake and data warehouse to use for reporting company-wide
reviewing dashboard products to replace powerbi",building additional mobile apps with opensource software,mitel is a pain to support,replacing core switches prefer to talk with hp/aruba on cx models,looking for additional offsite support for qa testing,looking at providing additional training options across it teams,Spring 22,5,2,1,3,6,3
Overstock.com,Director of Software Engineering,overstock.com,UT,2M,Retail,eCommerce,1000-5000 employees,$1B-$5B,3,0,0,0,0,0,Google,0,0,moving legacy solutions to salesforce and gcp,0,moving to event driven architecture,call center solution within salesforce,0,moving from legacy systems to cloud ready solutions,talent retention and hiring,Spring 22,1,1,1,2,1,1
"PHCA Administration, LLC",Director of I.S. / Privacy Officer,pedialliance.com,FL,5 million,Healthcare / Hospital,Healthcare,250-500 employees,$50M-$100M,17,5,1,300,WIndows,0,Azure,"cloud security, mfa and user behavior monitoring",migrating from hosted to azure / aws.,0,data warehousing with a dimensional database.,apis with emr integration,voip vendor assessment,researching better sd-wan devices,0,researching cbt for our i.t. staff.,Spring 22,3,2,1,3,4,1
